fips,state,population,pop_change_2018,unemployment_rate,median_hh_income,pct_below_povert,feb_temp_avg,aug_temp_avg,prc_bachelors,physicians_per_pop
12041,FL,18256,391,3.8,42186,23.8,18,27.9,14.2,265.2
12043,FL,13724,116,4,38680,27.6,22.1,28.3,9.9,265.2
12045,FL,16164,42,4.4,45426,26.3,17.8,28,17.7,265.2
12047,FL,14310,-79,4.2,36299,35.9,16.7,27.4,9.3,265.2
12049,FL,27245,43,5.3,39169,38.2,21.3,28.2,10.4,265.2
12051,FL,41556,412,6.1,44391,33.5,22.4,28.4,8.2,265.2
12053,FL,190865,4081,4.5,45884,19.3,20.2,28.4,17.5,265.2
12055,FL,105424,1364,4.8,39994,38.5,21.6,28.2,17,265.2
12057,FL,1436888,26773,3.4,58361,20.1,21.1,28.5,32.7,265.2
12059,FL,19477,29,4,38040,30.6,16.2,27.8,10.3,265.2
12061,FL,157413,3099,4.3,58228,17.9,21,28.2,28.3,265.2
12063,FL,48305,-55,4,39545,33.5,16.7,28,13.4,265.2
12065,FL,14288,141,3.7,46332,28.6,17.2,27.9,22,265.2
12067,FL,8732,109,3.2,42689,26.1,17.6,27.9,15.8,265.2
12069,FL,356495,11408,3.5,52447,19.5,20.1,28.4,22.7,265.2
12071,FL,754610,15104,3.4,56343,18.4,22.4,28.6,27.8,265.2
12073,FL,292502,1255,3.3,51046,20.1,17.2,28.1,45.7,265.2
12075,FL,40770,464,3.8,39037,26.3,18.7,28.1,12.6,265.2
12077,FL,8457,215,3.8,40814,27.1,17.3,27.9,12.7,265.2
12079,FL,18529,64,3.9,38249,32.5,17,27.6,13.8,265.2
12081,FL,394855,9405,3.4,59587,17.3,21,28.3,29.3,265.2
12083,FL,359977,6260,4.3,44517,25.9,19.3,28,19.4,265.2
