item,page,img_number,path
Catfish,catfish,8,data/wiki_images/220px-Blue_catfish_skeleton.jpg
Catfish,catfish,9,data/wiki_images/140px-Atlantic_cod.jpg
Catfish,catfish,10,data/wiki_images/80px-Pacific_oysters_01.jpg
Catfish,catfish,11,data/wiki_images/140px-Plateau_van_zeevruchten.jpg
Catfish,catfish,12,data/wiki_images/100px-FoodMeat.jpg
Catfish,catfish,13,data/wiki_images/100px-Plateau_van_zeevruchten.jpg
Cauliflower,cauliflower,1,data/wiki_images/150px-Cauliflower_plants_growing_in_New_Jersey_in_April.jpg
Cauliflower,cauliflower,2,data/wiki_images/343px-Cauliflower_broccoflower.jpg
Cauliflower,cauliflower,3,data/wiki_images/150px-Aloo_gobi.jpg
Cauliflower,cauliflower,4,data/wiki_images/150px-Potato_and_cauliflower_curry.jpg
Cauliflower,cauliflower,5,data/wiki_images/150px-Califlower_veloute_at_Hibiscus.jpg
Cauliflower,cauliflower,6,data/wiki_images/110px-Broccoli_and_cross_section_edit.jpg
Celery,celery,1,data/wiki_images/220px-Illustration_Apium_graveolens0.jpg
Celery,celery,2,data/wiki_images/100px-C%C3%A9leri.jpg
Celery,celery,3,data/wiki_images/100px-Celery_%282905891576%29.jpg
Celery,celery,4,data/wiki_images/220px-Celery_cross_section.jpg
Celery,celery,5,data/wiki_images/220px-Chinese_celery.jpg
Celery,celery,6,data/wiki_images/220px-Celery_Cells_%28400x%29.jpg
Celery,celery,7,data/wiki_images/220px-Celery_seed.jpg
Celery,celery,8,data/wiki_images/220px-Selinos_didrachm_ANS_685_670331.jpg
Celery,celery,9,data/wiki_images/220px-Celery_%28apium%29.jpg
Cheese,cheese,1,data/wiki_images/260px-Cowgirl_Creamery_Point_Reyes_-_Red_Hawk_cheese.jpg
Cheese,cheese,2,data/wiki_images/260px-Cheese_%281105942243%29.jpg
Cheese,cheese,3,data/wiki_images/260px-Clara_Peeters_-_Still_Life_with_Cheeses%2C_Almonds_and_Pretzels.jpg
Cheese,cheese,4,data/wiki_images/220px-Hartkaese_HardCheeses.jpg
Cheese,cheese,5,data/wiki_images/220px-Ricotta_affumicata_della_sila.jpg
Cheese,cheese,6,data/wiki_images/220px-9-alimenti%2C_formaggi%2CTaccuino_Sanitatis%2C_Casanatense_4182..jpg
Cheese,cheese,7,data/wiki_images/220px-Cheese_display%2C_Cambridge_MA_-_DSC05391.jpg
Cheese,cheese,8,data/wiki_images/220px-Production_of_cheese_1.jpg
Cheese,cheese,9,data/wiki_images/220px-Parmigiano_reggiano_factory.jpg
Cheese,cheese,10,data/wiki_images/323px-Wikicheese_-_Brie_de_Melun_-_20150515_-_015.jpg
Cheese,cheese,11,data/wiki_images/240px-Bleu_de_Gex.jpg
Cheese,cheese,12,data/wiki_images/247px-Maccagno_%28cheese%29.jpg
Cheese,cheese,13,data/wiki_images/270px-Berkswell_cheese.jpg
Cheese,cheese,14,data/wiki_images/180px-Maroilles_%28cheese%29.jpg
Cheese,cheese,15,data/wiki_images/240px-Mozzarella_cheese.jpg
Cheese,cheese,16,data/wiki_images/240px-Smoked_Gruy%C3%A8re_cheese.jpg
Cheese,cheese,17,data/wiki_images/257px-Bergader_Almk%C3%A4se_Chili_01_WikiCheese_Lokal_K.jpg
Cheese,cheese,18,data/wiki_images/320px-C%C5%93urs_de_Neufch%C3%A2tel_01.jpg
Cheese,cheese,19,data/wiki_images/270px-Cowgirl_Creamery_Point_Reyes_-_Devil%E2%80%99s_Gulch_cheese.jpg
Cheese,cheese,20,data/wiki_images/240px-Camembert_%28Cheese%29.jpg
Cheese,cheese,21,data/wiki_images/270px-WikiCheese_-_Saint-Julien_aux_noix_01.jpg
Cheese,cheese,22,data/wiki_images/277px-Bavaria_blu_03_WikiCheese_Lokal_K.jpg
Cheese,cheese,23,data/wiki_images/240px-SmallEdamCheese.jpg
Cheese,cheese,24,data/wiki_images/270px-Sainte-Maure_de_touraine_03.jpg
Cheese,cheese,25,data/wiki_images/320px-WikiCheese_-_Tentation_du_Vercors_-_20150619_-_001.jpg
Cheese,cheese,26,data/wiki_images/180px-Bleu_d%27%C3%89lizabeth.jpg
Cheese,cheese,27,data/wiki_images/270px-M%C3%A9t%C3%A9orite_fromage.jpg
Cheese,cheese,28,data/wiki_images/270px-Ricotta_salata_e_zucchina.jpg
Cheese,cheese,29,data/wiki_images/320px-WikiCheese_-_Rigotte_de_Condrieu_-_20150619_-_001.jpg
Cheese,cheese,30,data/wiki_images/270px-Parmigiano_Reggiano_DOP_Billa.jpg
Cheese,cheese,31,data/wiki_images/320px-Chabichou_du_Poitou_01.jpg
Cheese,cheese,32,data/wiki_images/270px-Gr%C3%BCnschimmelk%C3%A4se_%C3%96sterkron.jpg
Cheese,cheese,33,data/wiki_images/320px-Reblochon_01.jpg
Cheese,cheese,34,data/wiki_images/320px-Pouligny-saint-pierre_%28fromage%29_02.jpg
Cheese,cheese,35,data/wiki_images/320px-Fourme_d%27Ambert_01.jpg
Cheese,cheese,36,data/wiki_images/320px-Blue_Stilton_02.jpg
Cheese,cheese,37,data/wiki_images/225px-Langres_fromage_AOP_coupe.jpg
Cheese,cheese,38,data/wiki_images/320px-Emmental_%28fromage%29_01.jpg
Cheese,cheese,39,data/wiki_images/292px-2014-12-08_Bergk%C3%A4se_mit_Antipasta_5713.jpg
Cheese,cheese,40,data/wiki_images/227px-2015-01-25_Tobermory%2C_Isle_of_Mull_Cheese_Sgriob-ruadh_Farm_-_hu_-_7900.jpg
Cheese,cheese,41,data/wiki_images/270px-Zacharie_Cloutier_%28fromage%29.jpg
Cheese,cheese,42,data/wiki_images/332px-Sauermilchkaese_diverse.jpg
Cheese,cheese,43,data/wiki_images/178px-Gruyere_alpage_th_wa.jpg
Cheese,cheese,44,data/wiki_images/270px-Wikicheese_-_Brie_de_Nangis_-_20150515_-_018.jpg
Cheese,cheese,45,data/wiki_images/240px-Rouelle_du_Tarn.jpg
Cheese,cheese,46,data/wiki_images/284px-Comte_AOP.jpg
Cheese,cheese,47,data/wiki_images/200px--Saganaki_at_the_Parthenon_Restaurant_in_Chicago.MOV.webm.jpg
Cheese,cheese,48,data/wiki_images/220px-Cheese%2C_wine_and_bread_in_a_sidewalk_cafe_in_Paris%2C_June_2015.jpg
Cheese,cheese,49,data/wiki_images/220px-Cormeilles_Market_9_Artlibre_jnl.jpg
Cheese,cheese,50,data/wiki_images/128px-Different_ketchup_in_a_plate_122425.jpg
Chicken,chicken,1,data/wiki_images/220px-Female_pair.jpg
Chicken,chicken,2,data/wiki_images/220px-Chicken_anatomy.jpg
