fips,population,pop_change_2018,unemployment_rate,median_hh_income,pct_below_povert,feb_temp_avg,aug_temp_avg,prc_bachelors,physicians_per_pop
08057,1399,20,2.6,51457,20,-7.6,14.3,16.8,285.7
08059,580233,4416,3,85550,8,-2.3,19.8,44.1,285.7
08061,1383,16,1.8,44704,19.2,-2.4,24.6,21.5,285.7
08063,7163,11,2,48342,20.1,-3.1,23.6,18.9,285.7
08065,7824,71,2.6,51802,18.5,-8.9,12.5,34,285.7
08067,56310,769,3,66219,10.8,-4.2,19.2,43.9,285.7
08069,350518,6525,2.8,71306,8.5,-4.4,17.7,46.3,285.7
08071,14503,272,4.7,41485,26.6,0.8,23,19.7,285.7
08073,5610,80,2.4,46690,21,-2.4,23.3,12.8,285.7
08075,21528,-137,2.9,53168,16.9,-4.9,22.6,20.5,285.7
08077,153207,1801,4.1,51132,19.7,-2.6,21.9,27.4,285.7
08079,776,17,2.6,60210,15.9,-8.1,13.6,39.9,285.7
08081,13188,93,3.7,59500,16.7,-5.5,20.2,17.1,285.7
08083,26158,10,4.7,50180,28.8,-2,21.7,28.6,285.7
08085,42214,429,3.7,52576,17.4,-2.4,21.8,23.9,285.7
08087,28558,330,2.9,55387,15.3,-4.2,23.2,17.6,285.7
08089,18432,29,5,40064,29.9,0.1,25.2,17.7,285.7
08091,4833,24,3.5,68900,11,-5.6,17.1,48.6,285.7
08093,18556,636,2.9,72121,12.1,-6.4,14.9,30.2,285.7
08095,4286,-11,1.9,52367,15.6,-6.2,22.7,25.5,285.7
08097,17950,-2,3.8,89034,6.2,-6.9,15.2,63.1,285.7
08099,12164,93,3.3,42455,28.6,-1.4,25.4,17.4,285.7
08101,167529,1103,4.9,48308,22.9,0.8,24.3,22,285.7
08103,6336,-58,4.4,63411,12,-4.6,20.2,20.2,285.7
08105,11250,-56,4.8,44171,23.4,-7.8,15.6,23.7,285.7
08107,25733,387,2.7,81033,7.3,-6.4,16.6,50.4,285.7
08109,6843,200,4.6,36869,37,-7.6,15.6,22.9,285.7
08111,762,51,3.1,46878,20.4,-8.6,12.3,34.5,285.7
08113,8191,144,3.5,69458,9.8,-3.8,19.3,56.7,285.7
08115,2303,-31,2.6,40009,25.9,-6.4,22.4,20.8,285.7
08117,31007,3,2.2,80078,7.1,-7.4,13.6,51,285.7
